Practice Area,Section,Item No,Type of Work,Scope of Work,Estimation Fees,Remarks
Corporate,A. Business Growth and Related Matters,1,Company Incorporation Structuring and Restructuring,Advising setup shareholding governance structure and restructuring implementation,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,2,Strategic Audit,Legal risk and compliance audit on existing business structure and contracts,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,3,Company and Business Valuation,Legal support for valuation exercise and deal structuring,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,4,Business Administration and Finance Advisory,Advising legal implications of financing terms and internal approvals,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,5,Due Diligence Exercise,Vendor or purchaser legal due diligence and reporting,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,6,Merger and Acquisitions,Advising transaction structure drafting and completion support,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,7,Standard Operating Procedures,Drafting or reviewing SOPs for legal and regulatory compliance,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,8,Correspondence and Business Document Templates,Preparing business letters notices forms and legal templates,RM X,000 - RM X,000,
Corporate,A. Business Growth and Related Matters,9,Internal Rules and Guidelines,Drafting staff codes policy manuals and governance guidelines,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,1,Acquisition Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,2,Collaboration Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,3,Distributors Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,4,Employment Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,5,Franchise Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,6,Investment Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,7,Joint Venture Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,8,Licensing Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,9,Memorandum of Understanding,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,10,Memorandum of Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,11,Non Disclosure Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,12,Partnership Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,13,Property Management Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,14,Sale and Purchase Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,Subject to SRO if applicable
Corporate,B. Preparation of Agreements,15,Shareholder Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,16,Sponsorship Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,17,Tenancy and Lease Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,B. Preparation of Agreements,18,Warranty Agreement,Advising drafting negotiating and finalizing agreement,RM X,000 - RM X,000,
Corporate,C. Legal Advisory,1,Ad hoc Basis,Hourly Rate Partners RMX00.00 Senior Associates RMXXX.00 Associates RMXXX.00,Hourly,
Corporate,C. Legal Advisory,2,Elite Retainer Package,One dedicated associate general legal support legal advice pre emptive measures legal correspondence rebate up to 40 percent liaison with external lawyers letter of demand legal health check,RMXXXXXXX.00 per month,
Corporate,C. Legal Advisory,3,Premium Retainer Package,One dedicated associate general legal support legal advice pre emptive measures legal correspondence rebate up to 30 percent liaison with external lawyers letter of demand legal health check,RMXXXXXXX.00 per month,
Corporate,C. Legal Advisory,4,Essential Retainer Package,One dedicated associate general legal support legal advice legal correspondence rebate up to 25 percent legal health check,RMXXXXX.00 per month,
Corporate,C. Legal Advisory,5,Standard Retainer Package,General legal support legal advice rebate up to 15 percent for legal documents and agreements,RMXXX.00 per month,
